,sofifa_id,player_url,long_name,player_positions,overall,age,height_cm,weight_kg,club_name,club_jersey_number,nationality_name,pace,shooting,passing,dribbling,defending,physic,power_shot_power,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,player_face_url,club_logo_url,nation_logo_url,nation_flag_url,position_category
10,264265,https://sofifa.com/player/264265/aron-van-lare/220002,Aron van Lare,GK,61,18,190,75,PSV,41.0,Netherlands,,,,,,,50,64,62,66,62,63,24.0,https://cdn.sofifa.net/players/264/265/22_120.png,https://cdn.sofifa.net/teams/247/60.png,,https://cdn.sofifa.net/flags/nl.png,Goalkeeper
11,264251,https://sofifa.com/player/264251/deni-juric/220002,Deni Jurić,"ST, CAM",67,23,188,75,Dinamo Zagreb,39.0,Australia,76.0,69.0,53.0,63.0,26.0,77.0,76,11,9,15,6,6,,https://cdn.sofifa.net/players/264/251/22_120.png,https://cdn.sofifa.net/teams/211/60.png,,https://cdn.sofifa.net/flags/au.png,Midfielder
12,264240,https://sofifa.com/player/264240/pablo-martin-paez-gavira/220002,Pablo Martín Páez Gavira,CM,66,16,173,68,FC Barcelona,30.0,Spain,66.0,53.0,67.0,69.0,50.0,48.0,49,8,10,11,7,13,,https://cdn.sofifa.net/players/264/240/22_120.png,https://cdn.sofifa.net/teams/241/60.png,,https://cdn.sofifa.net/flags/es.png,Midfielder
13,264221,https://sofifa.com/player/264221/arjany-martha/220002,Ar'jany Martha,RW,61,17,180,63,Ajax,42.0,Netherlands,80.0,55.0,56.0,64.0,30.0,41.0,54,14,8,12,9,11,,https://cdn.sofifa.net/players/264/221/22_120.png,https://cdn.sofifa.net/teams/245/60.png,,https://cdn.sofifa.net/flags/nl.png,Forward
14,264220,https://sofifa.com/player/264220/youri-baas/220002,Youri Baas,LB,62,18,182,73,Ajax,35.0,Netherlands,68.0,34.0,54.0,60.0,60.0,56.0,36,9,12,14,12,7,,https://cdn.sofifa.net/players/264/220/22_120.png,https://cdn.sofifa.net/teams/245/60.png,,https://cdn.sofifa.net/flags/nl.png,Defender
15,264213,https://sofifa.com/player/264213/gil-linnart-walther/220002,Gil-Linnart Walther,LM,57,18,178,73,VfL Wolfsburg,48.0,Germany,66.0,50.0,52.0,60.0,29.0,44.0,55,11,10,8,7,13,,https://cdn.sofifa.net/players/264/213/22_120.png,https://cdn.sofifa.net/teams/175/60.png,,https://cdn.sofifa.net/flags/de.png,Midfielder
16,264175,https://sofifa.com/player/264175/pedro-ortiz-bernat/220002,Pedro Ortiz Bernat,"CM, CAM",60,20,184,76,Sevilla FC,34.0,Spain,65.0,55.0,53.0,60.0,49.0,60.0,48,10,11,9,9,6,,https://cdn.sofifa.net/players/264/175/22_120.png,https://cdn.sofifa.net/teams/481/60.png,,https://cdn.sofifa.net/flags/es.png,Midfielder
17,264173,https://sofifa.com/player/264173/ivan-romero-de-avila/220002,Iván Romero de Ávila,"ST, RW, LW",60,20,172,72,Sevilla FC,36.0,Spain,69.0,58.0,43.0,59.0,22.0,53.0,55,10,9,8,5,15,,https://cdn.sofifa.net/players/264/173/22_120.png,https://cdn.sofifa.net/teams/481/60.png,,https://cdn.sofifa.net/flags/es.png,Forward
18,264172,https://sofifa.com/player/264172/jose-angel-carmona-navarro/220002,José Ángel Carmona Navarro,"RB, CB",60,19,183,80,Sevilla FC,28.0,Spain,66.0,27.0,42.0,49.0,58.0,61.0,27,9,6,12,7,11,,https://cdn.sofifa.net/players/264/172/22_120.png,https://cdn.sofifa.net/teams/481/60.png,,https://cdn.sofifa.net/flags/es.png,Defender
19,264170,https://sofifa.com/player/264170/luis-federico-lopez-andugar/220002,Luis Federico López Andúgar,GK,63,20,190,76,Real Madrid CF,32.0,Spain,,,,,,,44,66,62,58,58,63,30.0,https://cdn.sofifa.net/players/264/170/22_120.png,https://cdn.sofifa.net/teams/243/60.png,,https://cdn.sofifa.net/flags/es.png,Goalkeeper
20,264116,https://sofifa.com/player/264116/alejandro-iturbe-encabo/220002,Alejandro Iturbe Encabo,GK,62,17,184,70,Atlético de Madrid,31.0,Spain,,,,,,,47,63,59,62,60,65,49.0,https://cdn.sofifa.net/players/264/116/22_120.png,https://cdn.sofifa.net/teams/240/60.png,,https://cdn.sofifa.net/flags/es.png,Goalkeeper
21,264026,https://sofifa.com/player/264026/nathan-bitumazala/220002,Nathan Bitumazala,"RB, CDM",61,18,178,68,Paris Saint-Germain,39.0,France,67.0,42.0,55.0,63.0,59.0,56.0,53,7,14,14,11,11,,https://cdn.sofifa.net/players/264/026/22_120.png,https://cdn.sofifa.net/teams/73/60.png,,https://cdn.sofifa.net/flags/fr.png,Defender
22,264022,https://sofifa.com/player/264022/goncalo-esteves/220002,Gonçalo Esteves,"RWB, RB",65,17,177,75,Sporting CP,87.0,Portugal,70.0,39.0,60.0,65.0,60.0,54.0,42,13,6,11,10,6,,https://cdn.sofifa.net/players/264/022/22_120.png,https://cdn.sofifa.net/teams/237/60.png,,https://cdn.sofifa.net/flags/pt.png,Defender
23,263953,https://sofifa.com/player/263953/samuel-edozie/220002,Samuel Edozie,LW,62,18,167,71,Manchester City,53.0,England,75.0,55.0,55.0,65.0,28.0,47.0,59,13,11,10,7,9,,https://cdn.sofifa.net/players/263/953/22_120.png,https://cdn.sofifa.net/teams/10/60.png,,https://cdn.sofifa.net/flags/gb-eng.png,Forward
24,263945,https://sofifa.com/player/263945/alberto-moreno-rebanal/220002,Alberto Moreno Rebanal,CM,64,19,175,69,Atlético de Madrid,34.0,Spain,69.0,59.0,63.0,67.0,52.0,55.0,61,6,12,15,6,10,,https://cdn.sofifa.net/players/263/945/22_120.png,https://cdn.sofifa.net/teams/240/60.png,,https://cdn.sofifa.net/flags/es.png,Midfielder
25,263943,https://sofifa.com/player/263943/javier-serrano-martinez/220002,Javier Serrano Martínez,CDM,64,18,175,70,Atlético de Madrid,26.0,Spain,71.0,56.0,60.0,64.0,59.0,63.0,56,9,12,10,6,12,,https://cdn.sofifa.net/players/263/943/22_120.png,https://cdn.sofifa.net/teams/240/60.png,,https://cdn.sofifa.net/flags/es.png,Midfielder
26,263827,https://sofifa.com/player/263827/leandro-zbinden/220002,Leandro Zbinden,GK,53,18,187,83,BSC Young Boys,61.0,Switzerland,,,,,,,43,57,53,57,51,56,21.0,https://cdn.sofifa.net/players/263/827/22_120.png,https://cdn.sofifa.net/teams/900/60.png,,https://cdn.sofifa.net/flags/ch.png,Goalkeeper
27,263804,https://sofifa.com/player/263804/yukhym-konoplia/220002,Yukhym Konoplia,"RB, RWB",65,21,180,74,Shakhtar Donetsk,26.0,Ukraine,77.0,42.0,50.0,57.0,58.0,60.0,59,8,6,12,7,10,,https://cdn.sofifa.net/players/263/804/22_120.png,https://cdn.sofifa.net/teams/101059/60.png,,https://cdn.sofifa.net/flags/ua.png,Defender
28,263759,https://sofifa.com/player/263759/tibo-persyn/220002,Tibo Persyn,"RM, RW, RWB",66,19,179,70,Club Brugge KV,16.0,Belgium,82.0,62.0,62.0,65.0,49.0,61.0,75,8,8,8,12,13,,https://cdn.sofifa.net/players/263/759/22_120.png,https://cdn.sofifa.net/teams/231/60.png,,https://cdn.sofifa.net/flags/be.png,Defender
29,263620,https://sofifa.com/player/263620/romeo-lavia/220002,Romeo Lavia,CDM,62,17,181,75,Manchester City,90.0,Belgium,58.0,41.0,52.0,59.0,62.0,59.0,55,7,7,5,11,13,,https://cdn.sofifa.net/players/263/620/22_120.png,https://cdn.sofifa.net/teams/10/60.png,,https://cdn.sofifa.net/flags/be.png,Midfielder
30,263578,https://sofifa.com/player/263578/alejandro-balde-martinez/220002,Alejandro Balde Martínez,"LB, LM",66,17,175,69,FC Barcelona,31.0,Spain,76.0,35.0,53.0,66.0,62.0,48.0,44,5,8,7,10,13,,https://cdn.sofifa.net/players/263/578/22_120.png,https://cdn.sofifa.net/teams/241/60.png,,https://cdn.sofifa.net/flags/es.png,Defender
31,263355,https://sofifa.com/player/263355/robin-friedrich/220002,Robin Friedrich,ST,61,18,173,60,RB Leipzig,50.0,Germany,67.0,63.0,47.0,59.0,21.0,39.0,64,9,7,12,15,13,,https://cdn.sofifa.net/players/263/355/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,,https://cdn.sofifa.net/flags/de.png,Forward
32,263354,https://sofifa.com/player/263354/julius-pfennig/220002,Julius Pfennig,CB,59,18,181,74,RB Leipzig,48.0,Germany,55.0,30.0,37.0,37.0,63.0,56.0,45,7,12,14,5,8,,https://cdn.sofifa.net/players/263/354/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,,https://cdn.sofifa.net/flags/de.png,Defender
33,263353,https://sofifa.com/player/263353/eric-uhlmann/220002,Eric Uhlmann,CDM,59,18,176,64,RB Leipzig,51.0,Germany,70.0,47.0,55.0,59.0,56.0,57.0,63,12,10,13,15,9,,https://cdn.sofifa.net/players/263/353/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,,https://cdn.sofifa.net/flags/de.png,Midfielder
34,263352,https://sofifa.com/player/263352/david-lelle/220002,David Lelle,CB,58,18,178,62,RB Leipzig,52.0,Germany,55.0,32.0,36.0,43.0,62.0,49.0,46,13,7,8,8,12,,https://cdn.sofifa.net/players/263/352/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,,https://cdn.sofifa.net/flags/de.png,Defender
35,263289,https://sofifa.com/player/263289/denys-antyukh/220002,Denys Antyukh,LM,60,23,183,78,Dynamo Kyiv,99.0,Ukraine,63.0,46.0,57.0,57.0,26.0,55.0,45,12,7,8,5,12,,https://cdn.sofifa.net/players/263/289/22_120.png,https://cdn.sofifa.net/teams/101047/60.png,,https://cdn.sofifa.net/flags/ua.png,Midfielder
36,263272,https://sofifa.com/player/263272/philipp-schulze/220002,Philipp Schulze,GK,58,18,190,82,VfL Wolfsburg,35.0,Germany,,,,,,,43,60,54,57,54,62,26.0,https://cdn.sofifa.net/players/263/272/22_120.png,https://cdn.sofifa.net/teams/175/60.png,,https://cdn.sofifa.net/flags/de.png,Goalkeeper
37,263194,https://sofifa.com/player/263194/ismael-gharbi/220002,Ismaël Gharbi,"LW, CAM",63,17,167,58,Paris Saint-Germain,35.0,France,71.0,55.0,60.0,71.0,40.0,40.0,60,7,9,13,15,8,,https://cdn.sofifa.net/players/263/194/22_120.png,https://cdn.sofifa.net/teams/73/60.png,,https://cdn.sofifa.net/flags/fr.png,Midfielder
38,263155,https://sofifa.com/player/263155/ben-klefisch/220002,Ben Klefisch,CM,58,18,179,67,RB Leipzig,46.0,Germany,62.0,45.0,59.0,58.0,59.0,58.0,59,11,9,8,12,6,,https://cdn.sofifa.net/players/263/155/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,,https://cdn.sofifa.net/flags/de.png,Midfielder
39,263028,https://sofifa.com/player/263028/bryan-okoh/220002,Bryan Okoh,CB,65,18,187,77,FC Red Bull Salzburg,3.0,Switzerland,79.0,31.0,53.0,60.0,62.0,72.0,53,5,9,12,15,15,,https://cdn.sofifa.net/players/263/028/22_120.png,https://cdn.sofifa.net/teams/191/60.png,,https://cdn.sofifa.net/flags/ch.png,Defender
40,262988,https://sofifa.com/player/262988/goktan-gurpuz/220002,Göktan Gürpüz,CM,57,18,175,65,Borussia Dortmund,42.0,Turkey,65.0,43.0,58.0,65.0,43.0,45.0,46,15,11,10,10,12,,https://cdn.sofifa.net/players/262/988/22_120.png,https://cdn.sofifa.net/teams/22/60.png,,https://cdn.sofifa.net/flags/tr.png,Midfielder
41,262913,https://sofifa.com/player/262913/markus-bjorkqvist/220002,Markus Björkqvist,CM,51,17,181,80,Malmö FF,34.0,Sweden,67.0,41.0,47.0,54.0,42.0,73.0,53,12,8,13,10,7,,https://cdn.sofifa.net/players/262/913/22_120.png,https://cdn.sofifa.net/teams/320/60.png,,https://cdn.sofifa.net/flags/se.png,Midfielder
42,262889,https://sofifa.com/player/262889/anselmo-garcia-macnulty/220002,Anselmo Garcia MacNulty,CB,63,18,187,78,VfL Wolfsburg,18.0,Republic of Ireland,64.0,35.0,41.0,47.0,64.0,68.0,48,9,6,11,14,14,,https://cdn.sofifa.net/players/262/889/22_120.png,https://cdn.sofifa.net/teams/175/60.png,,https://cdn.sofifa.net/flags/ie.png,Defender
43,262842,https://sofifa.com/player/262842/martin-baturina/220002,Martin Baturina,"CM, CAM",64,18,172,68,Dinamo Zagreb,46.0,Croatia,73.0,54.0,63.0,71.0,51.0,54.0,67,7,5,7,10,6,,https://cdn.sofifa.net/players/262/842/22_120.png,https://cdn.sofifa.net/teams/211/60.png,,https://cdn.sofifa.net/flags/hr.png,Midfielder
44,262262,https://sofifa.com/player/262262/jay-gorter/220002,Jay Gorter,GK,69,21,190,81,Ajax,16.0,Netherlands,,,,,,,48,70,65,64,71,68,50.0,https://cdn.sofifa.net/players/262/262/22_120.png,https://cdn.sofifa.net/teams/245/60.png,,https://cdn.sofifa.net/flags/nl.png,Goalkeeper
45,262260,https://sofifa.com/player/262260/sergio-guerrero-romero/220002,Sergio Guerrero Romero,CM,63,22,174,69,Atlético de Madrid,30.0,Spain,66.0,51.0,64.0,62.0,62.0,54.0,50,14,9,8,12,14,,https://cdn.sofifa.net/players/262/260/22_120.png,https://cdn.sofifa.net/teams/240/60.png,,https://cdn.sofifa.net/flags/es.png,Midfielder
46,262053,https://sofifa.com/player/262053/kayky-da-silva-chagas/220002,Kayky da Silva Chagas,RW,66,18,173,67,Manchester City,82.0,Brazil,82.0,58.0,57.0,72.0,28.0,45.0,62,14,14,13,14,9,,https://cdn.sofifa.net/players/262/053/22_120.png,https://cdn.sofifa.net/teams/10/60.png,,https://cdn.sofifa.net/flags/br.png,Forward
47,261987,https://sofifa.com/player/261987/antonio-blanco-conde/220002,Antonio Blanco Conde,"CM, CDM",71,20,176,68,Real Madrid CF,27.0,Spain,61.0,56.0,67.0,66.0,62.0,58.0,52,11,7,13,12,9,,https://cdn.sofifa.net/players/261/987/22_120.png,https://cdn.sofifa.net/teams/243/60.png,,https://cdn.sofifa.net/flags/es.png,Midfielder
48,261865,https://sofifa.com/player/261865/miguel-gutierrez-ortega/220002,Miguel Gutiérrez Ortega,LB,66,19,180,73,Real Madrid CF,35.0,Spain,71.0,40.0,47.0,58.0,64.0,58.0,48,14,10,8,6,10,,https://cdn.sofifa.net/players/261/865/22_120.png,https://cdn.sofifa.net/teams/243/60.png,,https://cdn.sofifa.net/flags/es.png,Defender
49,261621,https://sofifa.com/player/261621/luke-mbete/220002,Luke Mbete,CB,62,17,185,78,Manchester City,79.0,England,65.0,32.0,47.0,57.0,61.0,66.0,49,6,14,10,9,7,,https://cdn.sofifa.net/players/261/621/22_120.png,https://cdn.sofifa.net/teams/10/60.png,,https://cdn.sofifa.net/flags/gb-eng.png,Defender
50,261580,https://sofifa.com/player/261580/edward-campbell-sutherland/220002,Edward Campbell Sutherland,RM,62,21,176,70,Atlético de Madrid,45.0,England,74.0,54.0,58.0,64.0,27.0,45.0,63,6,10,10,12,14,,https://cdn.sofifa.net/players/261/580/22_120.png,https://cdn.sofifa.net/teams/240/60.png,,https://cdn.sofifa.net/flags/gb-eng.png,Midfielder
51,261531,https://sofifa.com/player/261531/flavio-b-j-nazinho/220002,Flávio Basilua Jacinto Nazinho,"LB, LM",64,17,180,75,Sporting CP,71.0,Portugal,71.0,33.0,53.0,58.0,61.0,57.0,26,6,5,14,6,6,,https://cdn.sofifa.net/players/261/531/22_120.png,https://cdn.sofifa.net/teams/237/60.png,,https://cdn.sofifa.net/flags/pt.png,Defender
52,261495,https://sofifa.com/player/261495/soumaila-coulibaly/220002,Soumaila Coulibaly,CB,61,17,190,82,Borussia Dortmund,4.0,France,62.0,36.0,48.0,57.0,59.0,61.0,56,5,14,13,10,11,,https://cdn.sofifa.net/players/261/495/22_120.png,https://cdn.sofifa.net/teams/22/60.png,,https://cdn.sofifa.net/flags/fr.png,Defender
53,261375,https://sofifa.com/player/261375/lucas-bergstrom/220002,Lucas Bergström,GK,54,18,200,84,Chelsea,36.0,Finland,,,,,,,42,57,55,56,50,56,23.0,https://cdn.sofifa.net/players/261/375/22_120.png,https://cdn.sofifa.net/teams/5/60.png,,https://cdn.sofifa.net/flags/fi.png,Goalkeeper
54,261307,https://sofifa.com/player/261307/veljko-birmancevic/220002,Veljko Birmančević,LW,70,23,179,67,Malmö FF,19.0,Serbia,83.0,65.0,60.0,75.0,37.0,56.0,65,14,11,11,14,7,,https://cdn.sofifa.net/players/261/307/22_120.png,https://cdn.sofifa.net/teams/320/60.png,,https://cdn.sofifa.net/flags/rs.png,Forward
55,261294,https://sofifa.com/player/261294/calvin-raatsie/220002,Calvin Owen Harm Raatsie,GK,59,19,188,81,Ajax,52.0,Netherlands,,,,,,,45,56,63,60,54,57,37.0,https://cdn.sofifa.net/players/261/294/22_120.png,https://cdn.sofifa.net/teams/245/60.png,,https://cdn.sofifa.net/flags/nl.png,Goalkeeper
56,261249,https://sofifa.com/player/261249/edouard-michut/220002,Édouard Michut,CM,65,18,178,68,Paris Saint-Germain,38.0,France,65.0,53.0,64.0,71.0,56.0,49.0,58,9,13,11,8,9,,https://cdn.sofifa.net/players/261/249/22_120.png,https://cdn.sofifa.net/teams/73/60.png,,https://cdn.sofifa.net/flags/fr.png,Midfielder
57,261241,https://sofifa.com/player/261241/mehmet-ibrahimi/220002,Mehmet Ibrahimi,"LW, CAM, RW",59,18,181,70,RB Leipzig,45.0,Germany,67.0,49.0,53.0,66.0,30.0,38.0,52,14,12,8,14,14,,https://cdn.sofifa.net/players/261/241/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,,https://cdn.sofifa.net/flags/de.png,Midfielder
58,261180,https://sofifa.com/player/261180/nico-maier/220002,Nico Maier,"CAM, RM",57,20,173,69,BSC Young Boys,22.0,Switzerland,68.0,49.0,59.0,59.0,35.0,47.0,52,7,9,9,7,9,,https://cdn.sofifa.net/players/261/180/22_120.png,https://cdn.sofifa.net/teams/900/60.png,,https://cdn.sofifa.net/flags/ch.png,Midfielder
59,261146,https://sofifa.com/player/261146/daniel-stefulj/220002,Daniel Štefulj,"LB, LWB, LM",66,21,186,78,Dinamo Zagreb,3.0,Croatia,72.0,50.0,57.0,66.0,59.0,69.0,66,13,12,11,11,7,,https://cdn.sofifa.net/players/261/146/22_120.png,https://cdn.sofifa.net/teams/211/60.png,,https://cdn.sofifa.net/flags/hr.png,Defender
60,261145,https://sofifa.com/player/261145/dario-spikic/220002,Dario Špikić,"RW, LW, RM",69,22,183,79,Dinamo Zagreb,77.0,Croatia,84.0,65.0,64.0,73.0,33.0,62.0,69,13,8,6,14,7,,https://cdn.sofifa.net/players/261/145/22_120.png,https://cdn.sofifa.net/teams/211/60.png,,https://cdn.sofifa.net/flags/hr.png,Midfielder
61,261143,https://sofifa.com/player/261143/marko-bulat/220002,Marko Bulat,"CM, CDM",69,19,178,68,Dinamo Zagreb,31.0,Croatia,68.0,65.0,73.0,71.0,59.0,69.0,75,13,9,14,10,9,,https://cdn.sofifa.net/players/261/143/22_120.png,https://cdn.sofifa.net/teams/211/60.png,,https://cdn.sofifa.net/flags/hr.png,Midfielder
62,261050,https://sofifa.com/player/261050/francisco-f-da-conceicao/220002,Francisco Fernandes Conceição,RM,70,18,170,64,FC Porto,10.0,Portugal,78.0,61.0,63.0,76.0,31.0,44.0,62,9,6,7,15,14,,https://cdn.sofifa.net/players/261/050/22_120.png,https://cdn.sofifa.net/teams/236/60.png,,https://cdn.sofifa.net/flags/pt.png,Midfielder
63,260990,https://sofifa.com/player/260990/rocco-ascone/220002,Rocco Ascone,CM,61,17,180,67,LOSC Lille,14.0,France,66.0,47.0,60.0,66.0,50.0,50.0,56,14,6,8,8,9,,https://cdn.sofifa.net/players/260/990/22_120.png,https://cdn.sofifa.net/teams/65/60.png,,https://cdn.sofifa.net/flags/fr.png,Midfielder
64,260910,https://sofifa.com/player/260910/shola-shoretire/220002,Shola Maxwell Shoretire,"RM, LM",62,17,175,70,Manchester United,47.0,England,72.0,56.0,56.0,66.0,37.0,55.0,56,7,7,8,5,9,,https://cdn.sofifa.net/players/260/910/22_120.png,https://cdn.sofifa.net/teams/11/60.png,,https://cdn.sofifa.net/flags/gb-eng.png,Midfielder
65,260876,https://sofifa.com/player/260876/maurits-kjaergaard/220002,Maurits Kjaergaard,"CAM, CM",62,18,189,70,FC Red Bull Salzburg,14.0,Denmark,71.0,58.0,59.0,62.0,57.0,68.0,67,9,6,11,12,8,,https://cdn.sofifa.net/players/260/876/22_120.png,https://cdn.sofifa.net/teams/191/60.png,,https://cdn.sofifa.net/flags/dk.png,Midfielder
66,260823,https://sofifa.com/player/260823/nicolo-fagioli/220002,Nicolò Fagioli,"CM, CAM",68,20,178,72,Juventus,34.0,Italy,67.0,59.0,70.0,73.0,54.0,58.0,70,7,10,8,10,13,,https://cdn.sofifa.net/players/260/823/22_120.png,https://cdn.sofifa.net/teams/45/60.png,,https://cdn.sofifa.net/flags/it.png,Midfielder
67,260644,https://sofifa.com/player/260644/kaio-jorge-pinto-ramos/220002,Kaio Jorge Pinto Ramos,ST,69,19,182,71,Juventus,21.0,Brazil,77.0,68.0,52.0,73.0,23.0,62.0,65,14,5,9,8,8,,https://cdn.sofifa.net/players/260/644/22_120.png,https://cdn.sofifa.net/teams/45/60.png,,https://cdn.sofifa.net/flags/br.png,Forward
68,260592,https://sofifa.com/player/260592/benjamin-sesko/220002,Benjamin Šeško,ST,68,18,193,77,FC Red Bull Salzburg,30.0,Slovenia,71.0,67.0,60.0,67.0,42.0,73.0,68,10,8,5,14,6,,https://cdn.sofifa.net/players/260/592/22_120.png,https://cdn.sofifa.net/teams/191/60.png,,https://cdn.sofifa.net/flags/si.png,Forward
69,260577,https://sofifa.com/player/260577/cisse-sandra/220002,Cisse Sandra,"CAM, LM, CF",61,17,183,76,Club Brugge KV,98.0,Belgium,66.0,60.0,61.0,65.0,34.0,59.0,63,15,12,12,6,6,,https://cdn.sofifa.net/players/260/577/22_120.png,https://cdn.sofifa.net/teams/231/60.png,,https://cdn.sofifa.net/flags/be.png,Midfielder
70,260241,https://sofifa.com/player/260241/jannis-lang/220002,Jannis Lang,CB,60,18,188,82,VfL Wolfsburg,38.0,Germany,60.0,32.0,35.0,42.0,62.0,62.0,48,8,14,11,6,9,,https://cdn.sofifa.net/players/260/241/22_120.png,https://cdn.sofifa.net/teams/175/60.png,,https://cdn.sofifa.net/flags/de.png,Defender
71,260237,https://sofifa.com/player/260237/daouda-guindo/220002,Daouda Guindo,LB,64,18,183,66,FC Red Bull Salzburg,37.0,Mali,80.0,28.0,51.0,66.0,58.0,65.0,38,13,14,5,14,10,,https://cdn.sofifa.net/players/260/237/22_120.png,https://cdn.sofifa.net/teams/191/60.png,,https://cdn.sofifa.net/flags/ml.png,Defender
72,260235,https://sofifa.com/player/260235/mamady-diambou/220002,Mamady Diambou,CDM,61,18,176,60,FC Red Bull Salzburg,15.0,Mali,73.0,52.0,54.0,64.0,56.0,63.0,68,7,12,13,9,6,,https://cdn.sofifa.net/players/260/235/22_120.png,https://cdn.sofifa.net/teams/191/60.png,,https://cdn.sofifa.net/flags/ml.png,Midfielder
73,260232,https://sofifa.com/player/260232/ivan-saranic/220002,Ivan Šaranić,"RW, CAM",63,18,185,76,Dinamo Zagreb,35.0,Croatia,72.0,56.0,62.0,71.0,28.0,61.0,64,6,9,13,7,12,,https://cdn.sofifa.net/players/260/232/22_120.png,https://cdn.sofifa.net/teams/211/60.png,,https://cdn.sofifa.net/flags/hr.png,Midfielder
74,260100,https://sofifa.com/player/260100/fredrik-oppegard/220002,Fredrik Oppegård,LB,63,18,175,71,PSV,35.0,Norway,76.0,51.0,55.0,62.0,56.0,60.0,59,9,8,9,6,10,,https://cdn.sofifa.net/players/260/100/22_120.png,https://cdn.sofifa.net/teams/247/60.png,,https://cdn.sofifa.net/flags/no.png,Defender
